latitude,longitude,precipitation,time,datetime
-89.95,-171.34999,0.0,1443663000,2025-10-05 01:30:00
-89.95,-171.25,0.0,1443663000,2025-10-05 01:30:00
-89.95,-171.15,0.0,1443663000,2025-10-05 01:30:00
-89.95,-171.05,0.0,1443663000,2025-10-05 01:30:00
-89.95,-170.95,0.0,1443663000,2025-10-05 01:30:00
-89.95,-170.84999,0.0,1443663000,2025-10-05 01:30:00
-89.95,-170.75,0.0,1443663000,2025-10-05 01:30:00
-89.95,-170.65,0.0,1443663000,2025-10-05 01:30:00
-89.95,-170.55,0.0,1443663000,2025-10-05 01:30:00
-89.95,-170.45,0.0,1443663000,2025-10-05 01:30:00
-89.95,-170.34999,0.0,1443663000,2025-10-05 01:30:00
-89.95,-170.25,0.0,1443663000,2025-10-05 01:30:00
-89.95,-170.15,0.0,1443663000,2025-10-05 01:30:00
-89.95,-170.05,0.0,1443663000,2025-10-05 01:30:00
-89.95,-169.95,0.0,1443663000,2025-10-05 01:30:00
-89.95,-169.84999,0.0,1443663000,2025-10-05 01:30:00
-89.95,-169.75,0.0,1443663000,2025-10-05 01:30:00
-89.95,-169.65,0.0,1443663000,2025-10-05 01:30:00
-89.95,-169.55,0.0,1443663000,2025-10-05 01:30:00
-89.95,-169.45,0.0,1443663000,2025-10-05 01:30:00
-89.95,-169.34999,0.0,1443663000,2025-10-05 01:30:00
-89.95,-169.25,0.0,1443663000,2025-10-05 01:30:00
-89.95,-169.15,0.0,1443663000,2025-10-05 01:30:00
-89.95,-169.05,0.0,1443663000,2025-10-05 01:30:00
-89.95,-168.95,0.0,1443663000,2025-10-05 01:30:00
-89.95,-168.84999,0.0,1443663000,2025-10-05 01:30:00
-89.95,-168.75,0.0,1443663000,2025-10-05 01:30:00
-89.95,-168.65,0.0,1443663000,2025-10-05 01:30:00
-89.95,-168.55,0.0,1443663000,2025-10-05 01:30:00
-89.95,-168.45,0.0,1443663000,2025-10-05 01:30:00
-89.95,-168.34999,0.0,1443663000,2025-10-05 01:30:00
-89.95,-168.25,0.0,1443663000,2025-10-05 01:30:00
-89.95,-168.15,0.0,1443663000,2025-10-05 01:30:00
-89.95,-168.05,0.0,1443663000,2025-10-05 01:30:00
-89.95,-167.95,0.0,1443663000,2025-10-05 01:30:00
-89.95,-167.84999,0.0,1443663000,2025-10-05 01:30:00
-89.95,-167.75,0.0,1443663000,2025-10-05 01:30:00
-89.95,-167.65,0.0,1443663000,2025-10-05 01:30:00
-89.95,-167.55,0.0,1443663000,2025-10-05 01:30:00
-89.95,-167.45,0.0,1443663000,2025-10-05 01:30:00
-89.95,-167.34999,0.0,1443663000,2025-10-05 01:30:00
-89.95,-167.25,0.0,1443663000,2025-10-05 01:30:00
-89.95,-167.15,0.0,1443663000,2025-10-05 01:30:00
-89.95,-167.05,0.0,1443663000,2025-10-05 01:30:00
-89.95,-166.95,0.0,1443663000,2025-10-05 01:30:00
-89.95,-166.84999,0.0,1443663000,2025-10-05 01:30:00
-89.95,-166.75,0.0,1443663000,2025-10-05 01:30:00
-89.95,-166.65,0.0,1443663000,2025-10-05 01:30:00
-89.95,-166.55,0.0,1443663000,2025-10-05 01:30:00
-89.95,-166.45,0.0,1443663000,2025-10-05 01:30:00
-89.95,-166.34999,0.0,1443663000,2025-10-05 01:30:00
-89.95,-166.25,0.0,1443663000,2025-10-05 01:30:00
-89.95,-166.15,0.0,1443663000,2025-10-05 01:30:00
-89.95,-166.05,0.0,1443663000,2025-10-05 01:30:00
-89.95,-165.95,0.0,1443663000,2025-10-05 01:30:00
-89.95,-165.84999,0.0,1443663000,2025-10-05 01:30:00
-89.95,-165.75,0.0,1443663000,2025-10-05 01:30:00
-89.95,-165.65,0.0,1443663000,2025-10-05 01:30:00
-89.95,-165.55,0.0,1443663000,2025-10-05 01:30:00
-89.95,-165.45,0.0,1443663000,2025-10-05 01:30:00
-89.95,-165.34999,0.0,1443663000,2025-10-05 01:30:00
-89.95,-165.25,0.0,1443663000,2025-10-05 01:30:00
-89.95,-165.15,0.0,1443663000,2025-10-05 01:30:00
-89.95,-165.05,0.0,1443663000,2025-10-05 01:30:00
-89.95,-164.95,0.0,1443663000,2025-10-05 01:30:00
-89.95,-164.84999,0.0,1443663000,2025-10-05 01:30:00
-89.95,-164.75,0.0,1443663000,2025-10-05 01:30:00
-89.95,-164.65,0.0,1443663000,2025-10-05 01:30:00
-89.95,-164.55,0.0,1443663000,2025-10-05 01:30:00
-89.95,-164.45,0.0,1443663000,2025-10-05 01:30:00
-89.95,-164.34999,0.0,1443663000,2025-10-05 01:30:00
